state,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,year,Total People Experiencing Homelessness,gdp,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,gini,international_migration,unemployment_rate
Missouri,0.25,0.09,0.118,0.273,0.129,0.141,2011,8989,262067.1,39603,123053,740839,5107687,0.46,9118,0.084
Montana,0.234,0.094,0.113,0.261,0.149,0.15,2011,1768,40995.1,70499,8747,7902,910370,0.44,617,0.066
Nebraska,0.264,0.096,0.117,0.265,0.125,0.134,2011,3548,99921.1,26793,39959,98658,1675504,0.45,2255,0.045
Nevada,0.256,0.092,0.125,0.279,0.122,0.126,2011,9150,127677.9,50418,248981,261092,2152623,0.45,1101,0.132
New Hampshire,0.227,0.082,0.099,0.308,0.145,0.139,2011,1469,66153.2,4650,33574,21003,1261217,0.43,3078,0.055
New Jersey,0.246,0.083,0.113,0.298,0.125,0.136,2011,14137,495965.8,59630,804114,1346119,6618689,0.47,34483,0.094
New Mexico,0.267,0.098,0.114,0.254,0.131,0.137,2011,3601,87062.8,224902,40036,59283,1756486,0.48,4176,0.075
New York,0.234,0.097,0.125,0.285,0.125,0.135,2011,63445,1247605.8,217857,1613891,3561342,14106831,0.5,87332,0.083
North Carolina,0.256,0.089,0.115,0.283,0.126,0.132,2011,12896,431722.7,159348,255669,2189304,7054592,0.47,10843,0.102
North Dakota,0.237,0.115,0.12,0.254,0.131,0.142,2011,603,41587.7,40228,8746,11676,624876,0.44,1209,0.035
Ohio,0.248,0.088,0.112,0.278,0.134,0.141,2011,13030,528189.9,39513,228314,1523957,9753951,0.46,15512,0.086
Oklahoma,0.266,0.092,0.12,0.262,0.124,0.137,2011,4625,166235.8,395784,84090,324890,2984060,0.46,7029,0.059
Oregon,0.233,0.092,0.124,0.269,0.138,0.143,2011,17254,170630.9,83098,188963,97337,3503274,0.46,10740,0.096
Pennsylvania,0.232,0.088,0.108,0.282,0.136,0.155,2011,15096,624819.7,48883,401473,1529622,10767074,0.46,28385,0.079
